,open,high,low,close,volume
2023-09-20 23:00:00+00:00,1.06552,1.06552,1.06478,1.06498,3973.51
2023-09-21 00:00:00+00:00,1.06498,1.06503,1.063,1.06312,11577.13
2023-09-21 01:00:00+00:00,1.06312,1.06395,1.06276,1.06374,11448.55
2023-09-21 02:00:00+00:00,1.06373,1.06413,1.06167,1.06271,11686.67
2023-09-21 03:00:00+00:00,1.06274,1.06378,1.06269,1.06365,5726.16
2023-09-21 04:00:00+00:00,1.06366,1.06373,1.06333,1.0637,4940.91
2023-09-21 05:00:00+00:00,1.0637,1.06386,1.06326,1.06346,6196.05
2023-09-21 06:00:00+00:00,1.06343,1.06546,1.06336,1.06503,11869.24
2023-09-21 07:00:00+00:00,1.06501,1.0658,1.06386,1.06551,24820.39
2023-09-21 08:00:00+00:00,1.06551,1.06637,1.06521,1.06555,16968.41
2023-09-21 09:00:00+00:00,1.06555,1.06645,1.06514,1.06534,13699.13
2023-09-21 10:00:00+00:00,1.06534,1.06627,1.0647,1.06505,12596.95
2023-09-21 11:00:00+00:00,1.06501,1.06501,1.06335,1.06356,23472.88
2023-09-21 12:00:00+00:00,1.06357,1.0642,1.06246,1.0642,28265.94
2023-09-21 13:00:00+00:00,1.06421,1.06611,1.06387,1.06408,32659.91
2023-09-21 14:00:00+00:00,1.06408,1.06734,1.06378,1.06599,31624.14
2023-09-21 15:00:00+00:00,1.06598,1.06686,1.0655,1.06634,16175.51
2023-09-21 16:00:00+00:00,1.06633,1.06664,1.06544,1.06557,10759.07
2023-09-21 17:00:00+00:00,1.06558,1.06704,1.06556,1.06657,8366.09
2023-09-21 18:00:00+00:00,1.06658,1.06708,1.06613,1.06616,8592.68
2023-09-21 19:00:00+00:00,1.06618,1.06668,1.06589,1.06592,7636.59
2023-09-21 20:00:00+00:00,1.06591,1.06629,1.06574,1.06599,5383.52
2023-09-21 21:00:00+00:00,1.06599,1.06613,1.06558,1.06585,1319.78
2023-09-21 22:00:00+00:00,1.06584,1.06637,1.06579,1.06613,3046.91
2023-09-21 23:00:00+00:00,1.06613,1.06617,1.06587,1.06603,4141.59
2023-09-22 00:00:00+00:00,1.06603,1.06626,1.06534,1.06575,5905.2
2023-09-22 01:00:00+00:00,1.06574,1.06576,1.06409,1.06432,8509.5
2023-09-22 02:00:00+00:00,1.06432,1.06515,1.06423,1.06479,8584.83
2023-09-22 03:00:00+00:00,1.06478,1.0653,1.06475,1.06514,5994.45
2023-09-22 04:00:00+00:00,1.06514,1.06569,1.06511,1.06546,6408.45
2023-09-22 05:00:00+00:00,1.06547,1.06576,1.06492,1.06493,5770.13
2023-09-22 06:00:00+00:00,1.06491,1.06598,1.06471,1.06594,13431.01
2023-09-22 07:00:00+00:00,1.06595,1.06678,1.0615,1.06457,42154.99
2023-09-22 08:00:00+00:00,1.06456,1.06516,1.06392,1.06462,23978.46
2023-09-22 09:00:00+00:00,1.06461,1.06486,1.0634,1.06384,12271.79
2023-09-22 10:00:00+00:00,1.06383,1.06471,1.06345,1.06354,9462.57
2023-09-22 11:00:00+00:00,1.06355,1.06419,1.06355,1.06363,7860.57
2023-09-22 12:00:00+00:00,1.06363,1.06606,1.06363,1.06556,19467.17
2023-09-22 13:00:00+00:00,1.06556,1.06622,1.06421,1.06606,26380.44
2023-09-22 14:00:00+00:00,1.06605,1.06716,1.06573,1.06581,20326.99
2023-09-22 15:00:00+00:00,1.0658,1.06653,1.06536,1.06592,10357.72
2023-09-22 16:00:00+00:00,1.06594,1.06616,1.06549,1.06554,6793.52
2023-09-22 17:00:00+00:00,1.06555,1.06614,1.06516,1.06518,7615.81
2023-09-22 18:00:00+00:00,1.06518,1.06527,1.06391,1.06469,6796.22
2023-09-22 19:00:00+00:00,1.06469,1.06512,1.06436,1.06436,6567.76
2023-09-22 20:00:00+00:00,1.06436,1.06473,1.06415,1.06419,8013.63
2023-09-22 21:00:00+00:00,1.06419,1.06419,1.06419,1.06419,0.0
2023-09-22 22:00:00+00:00,1.06419,1.06419,1.06419,1.06419,0.0
2023-09-22 23:00:00+00:00,1.06419,1.06419,1.06419,1.06419,0.0
2023-09-25 00:00:00+00:00,1.06482,1.06555,1.0648,1.06545,5196.78
2023-09-25 01:00:00+00:00,1.06546,1.0655,1.06443,1.06466,6694.37
2023-09-25 02:00:00+00:00,1.06466,1.06494,1.0643,1.06489,6535.21
2023-09-25 03:00:00+00:00,1.06489,1.06506,1.06475,1.0648,4542.28
2023-09-25 04:00:00+00:00,1.06479,1.06504,1.06457,1.06487,3499.58
2023-09-25 05:00:00+00:00,1.06488,1.065,1.06421,1.06439,5134.04
2023-09-25 06:00:00+00:00,1.06441,1.06531,1.06426,1.06462,8941.67
2023-09-25 07:00:00+00:00,1.06461,1.06528,1.06316,1.06378,13965.13
